STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:425186,LOGAN UTAH ST U UT US,20120101 00:15,4.47,0.00
COOP:425186,LOGAN UTAH ST U UT US,20120102 08:30,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120102 09:15,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120102 15:45,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120103 13:45,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120104 15:00,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120105 03:15,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120105 17:45,4.47,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120107 04:45,4.48,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120107 07:15,4.49,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120112 13:45,4.49,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120115 01:30,4.49,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120116 13:30,4.50,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120116 17:45,4.50,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120117 04:15,4.50,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120117 06:00,4.50,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120118 02:15,4.50,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120118 04:45,4.50,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120118 22:45,4.51,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120119 15:30,4.52,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120119 16:45,4.53,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120119 17:30,4.54,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120119 18:15,4.55,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120119 19:30,4.56,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120120 02:00,4.57,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 01:15,4.58,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 07:00,4.59,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 10:00,4.60,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 11:15,4.61,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 13:15,4.62,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 14:30,4.63,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 15:30,4.64,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 16:45,4.65,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120121 18:30,4.66,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120122 10:45,4.67,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120123 21:45,4.68,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120126 13:45,4.69,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120131 18:00,4.69,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120201 00:15,4.69,0.00
COOP:425186,LOGAN UTAH ST U UT US,20120203 13:45,1.46,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120207 12:00,-9999,999.99
COOP:425186,LOGAN UTAH ST U UT US,20120301 00:00,-9999,999.99
COOP:425186,LOGAN UTAH ST U UT US,20120301 00:15,0.00,0.00
COOP:425186,LOGAN UTAH ST U UT US,20120301 20:15,0.45,-9999
COOP:425186,LOGAN UTAH ST U UT US,20120301 22:00,0.46,0.10
COOP:425186,LOGAN UTAH ST U UT US,20120302 00:00,0.47,0.10
